nodename,batch,solution,version,git,task,data,timestamp,action,stderr
mr-0xc11,1543942552,spark,2.4.0,,groupby,G1_1e7_1e2_0_1,1543942981.5549,start,
mr-0xc11,1543942552,spark,2.4.0,,groupby,G1_1e7_1e2_0_1,1543943010.42497,finish,2
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e2_0_0,1543943010.4432,start,
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e2_0_0,1543943048.1308,finish,0
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e1_0_0,1543943048.1433,start,
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e1_0_0,1543943118.54157,finish,0
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_2e0_0_0,1543943118.55432,start,
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_2e0_0_0,1543943216.25202,finish,0
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e2_0_1,1543943216.26192,start,
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e2_0_1,1543943250.07698,finish,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_1e2_0_0,1543944674.6104,skip,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_1e2_0_0,1543944674.61904,start,
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_1e2_0_0,1543944736.17278,finish,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_1e1_0_0,1543944736.19164,skip,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_1e1_0_0,1543944736.20194,start,
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_1e1_0_0,1543944833.58728,finish,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_2e0_0_0,1543944833.60468,skip,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_2e0_0_0,1543944833.61486,start,
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_2e0_0_0,1543945039.65053,finish,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_1e2_0_1,1543945039.6652,skip,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_1e2_0_1,1543945039.67525,start,
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_1e2_0_1,1543945092.62702,finish,0
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_1e2_0_0,1543945092.64649,skip,1
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_1e2_0_0,1543945092.65663,start,
