nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment
mr-0xc11,1544889852,1544911096,groupby,G1_1e9_1e2_0_0,1000000000,mean v1:v3 by id4,100,4,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,2,73.004,NA,TRUE,299.9972;300.0019;4817.038,0,NA
mr-0xc11,1544889852,1544911655,groupby,G1_1e9_1e2_0_0,1000000000,sum v1:v3 by id6,10000000,4,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,1,548.612,NA,TRUE,2999972045;3000019420;48170381592,0.093,NA
mr-0xc11,1544889852,1544912203,groupby,G1_1e9_1e2_0_0,1000000000,sum v1:v3 by id6,10000000,4,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,2,538.587,NA,TRUE,2999972045;3000019420;48170381592,0.093,NA
mr-0xc11,1544889852,1544914162,groupby,G1_1e9_1e1_0_0,1000000000,sum v1 by id1,10,2,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,1,10.025,NA,TRUE,2999972045,0,NA
mr-0xc11,1544889852,1544914276,groupby,G1_1e9_1e1_0_0,1000000000,sum v1 by id1,10,2,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,2,10.117,NA,TRUE,2999972045,0,NA
mr-0xc11,1544889852,1544914404,groupby,G1_1e9_1e1_0_0,1000000000,sum v1 by id1:id2,100,3,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,1,24.275,NA,TRUE,2999972045,0,NA
mr-0xc11,1544889852,1544914533,groupby,G1_1e9_1e1_0_0,1000000000,sum v1 by id1:id2,100,3,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,2,24.27,NA,TRUE,2999972045,0,NA
mr-0xc11,1544889852,1544915111,groupby,G1_1e9_1e1_0_0,1000000000,sum v1 mean v3 by id3,99995425,3,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,1,470.285,NA,TRUE,2999972045;4816780557,0.873,NA
mr-0xc11,1544889852,1544915759,groupby,G1_1e9_1e1_0_0,1000000000,sum v1 mean v3 by id3,99995425,3,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,2,538.998,NA,TRUE,2999972045;4816780557,0.665,NA
mr-0xc11,1544889852,1544915902,groupby,G1_1e9_1e1_0_0,1000000000,mean v1:v3 by id4,10,4,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,1,39.97,NA,TRUE,29.99972;30.00019;481.7038,0,NA
mr-0xc11,1544889852,1544916046,groupby,G1_1e9_1e1_0_0,1000000000,mean v1:v3 by id4,10,4,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,2,39.95,NA,TRUE,29.99972;30.00019;481.7038,0,NA
mr-0xc11,1544889852,1544917146,groupby,G1_1e9_1e1_0_0,1000000000,sum v1:v3 by id6,99995357,4,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,1,990.838,NA,TRUE,2999972045;3000019420;48170381592,0.933,NA
mr-0xc11,1544889852,1544918247,groupby,G1_1e9_1e1_0_0,1000000000,sum v1:v3 by id6,99995357,4,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,2,991.249,NA,TRUE,2999972045;3000019420;48170381592,0.929,NA
